First_pokemon,Second_pokemon,Winner,First_win
266,298,298,False
702,701,701,False
191,668,668,False
237,683,683,False
151,231,151,True
657,752,657,True
192,134,134,False
73,545,545,False
220,763,763,False
302,31,31,False
442,130,130,False
701,624,701,True
15,283,283,False
151,87,151,True
269,462,269,True
763,448,448,False
143,263,263,False
365,240,240,False
499,774,499,True
563,578,563,True
440,687,687,False
373,441,441,False
654,671,671,False
121,355,121,True
609,649,649,False
270,708,270,True
460,568,568,False
626,767,767,False
139,451,139,True
694,747,694,True
455,549,549,False
181,301,301,False
208,184,184,False
536,365,536,True
260,381,381,False
471,269,269,False
621,287,287,False
406,134,406,True
592,503,503,False
564,242,242,False
579,242,242,False
200,719,200,True
376,135,376,True
76,441,441,False
667,645,645,False
475,400,475,True
3,737,737,False
435,45,435,True
231,146,146,False
510,715,715,False
456,260,260,False
164,751,751,False
424,754,424,True
258,779,258,True
360,208,208,False
723,646,646,False
384,533,533,False
734,673,673,False
141,721,141,True
244,741,244,True
509,217,509,True
633,44,633,True
595,719,595,True
606,40,606,True
368,598,368,True
746,584,746,True
350,187,350,True
303,198,303,True
169,701,701,False
569,115,115,False
231,172,172,False
71,440,71,True
659,610,610,False
570,557,557,False
712,40,712,True
451,352,451,True
661,95,95,False
540,4,540,True
130,319,130,True
125,418,418,False
309,276,276,False
579,612,612,False
716,80,80,False
482,535,535,False
376,37,37,False
6,328,328,False
159,343,159,True
509,574,574,False
546,530,546,True
486,229,229,False
686,213,213,False
304,386,386,False
514,732,732,False
161,757,161,True
150,265,265,False
436,701,701,False
221,265,265,False
436,603,603,False
242,365,242,True
792,251,792,True
607,295,607,True
439,209,209,False
657,360,657,True
436,40,40,False
325,408,408,False
472,89,472,True
71,777,71,True
47,615,47,True
5,670,5,True
793,314,314,False
195,461,195,True
493,568,493,True
400,341,341,False
63,297,63,True
541,446,541,True
141,152,141,True
54,115,115,False
378,161,161,False
224,316,316,False
311,398,398,False
298,35,298,True
356,132,356,True
103,370,103,True
503,453,503,True
600,598,600,True
445,45,445,True
360,548,548,False
303,133,133,False
51,331,51,True
171,559,171,True
758,129,758,True
6,255,6,True
698,154,154,False
92,491,491,False
381,73,381,True
354,271,271,False
219,49,219,True
736,244,244,False
683,245,245,False
533,452,533,True
200,588,588,False
403,636,403,True
56,561,561,False
54,119,119,False
629,141,629,True
547,779,547,True
380,547,547,False
407,307,307,False
153,559,153,True
306,268,306,True
89,382,89,True
54,32,32,False
172,745,745,False
16,110,110,False
537,734,537,True
278,94,278,True
342,643,643,False
435,165,165,False
638,691,691,False
734,718,718,False
298,781,298,True
42,113,42,True
97,316,97,True
416,397,397,False
483,400,483,True
275,155,155,False
154,461,154,True
309,4,4,False
539,30,30,False
545,266,545,True
283,340,340,False
232,254,254,False
384,427,427,False
161,781,161,True
496,420,496,True
268,159,159,False
473,593,473,True
550,475,550,True
199,785,785,False
385,732,732,False
488,196,488,True
30,587,30,True
36,494,494,False
513,184,184,False
129,106,129,True
6,604,6,True
137,315,137,True
83,509,509,False
585,534,585,True
743,57,57,False
220,723,723,False
764,665,764,True
708,439,708,True
28,545,545,False
23,796,23,True
698,147,147,False
306,635,635,False
158,666,158,True
55,750,750,False
513,439,513,True
769,264,264,False
232,499,499,False
23,623,23,True
97,250,250,False
324,544,544,False
517,10,517,True
586,461,461,False
779,349,349,False
669,226,226,False
623,53,623,True
538,718,718,False
438,242,438,True
523,759,523,True
14,103,103,False
378,152,152,False
478,361,478,True
137,698,137,True
354,739,739,False
233,684,684,False
291,605,291,True
96,264,264,False
730,137,137,False
129,744,129,True
611,107,611,True
58,560,560,False
658,146,658,True
625,753,625,True
524,27,524,True
794,474,794,True
365,391,391,False
592,585,592,True
512,586,512,True
526,424,424,False
70,456,70,True
540,288,540,True
347,389,347,True
689,128,128,False
211,701,701,False
336,385,336,True
594,80,80,False
785,490,490,False
425,308,425,True
27,731,731,False
459,399,459,True
421,494,421,True
578,768,768,False
63,82,63,True
257,221,257,True
4,150,4,True
546,333,546,True
308,544,544,False
213,442,213,True
575,302,302,False
209,645,209,True
92,768,92,True
116,672,116,True
132,69,69,False
568,396,568,True
644,218,644,True
321,163,163,False
17,164,164,False
715,190,715,True
51,57,51,True
237,448,448,False
580,676,580,True
789,726,726,False
420,718,420,True
83,499,499,False
526,159,159,False
115,56,56,False
358,636,358,True
54,532,532,False
534,798,534,True
768,179,768,True
94,724,724,False
795,437,795,True
313,432,432,False
305,251,305,True
269,289,269,True
593,733,733,False
568,428,428,False
287,290,287,True
762,733,762,True
217,100,100,False
668,87,668,True
165,49,165,True
123,771,771,False
154,261,154,True
225,640,640,False
313,103,103,False
106,505,505,False
453,614,614,False
107,48,48,False
722,590,590,False
559,431,431,False
141,727,727,False
490,239,490,True
490,340,340,False
373,128,128,False
3,730,3,True
502,91,502,True
714,104,714,True
788,276,276,False
459,16,16,False
432,143,432,True
724,2,724,True
648,533,648,True
250,357,250,True
155,439,155,True
447,20,20,False
366,371,366,True
337,770,337,True
358,765,358,True
198,110,198,True
152,760,760,False
164,577,164,True
174,646,646,False
438,59,59,False
614,443,614,True
127,789,127,True
504,421,421,False
565,214,214,False
158,635,635,False
386,21,21,False
408,404,404,False
349,440,349,True
410,295,410,True
83,569,569,False
249,411,249,True
173,609,173,True
770,572,572,False
51,473,473,False
452,106,106,False
550,769,550,True
525,740,525,True
464,762,762,False
147,798,798,False
572,45,572,True
569,741,569,True
193,28,28,False
247,445,247,True
511,280,280,False
435,44,44,False
794,359,794,True
196,758,758,False
470,410,410,False
631,164,164,False
451,790,451,True
211,442,442,False
773,582,773,True
403,59,59,False
401,413,413,False
228,679,679,False
753,196,196,False
578,434,434,False
210,40,40,False
38,716,716,False
18,458,458,False
538,742,538,True
702,627,702,True
403,412,403,True
517,136,136,False
465,89,465,True
505,502,505,True
601,644,644,False
84,459,84,True
548,525,525,False
707,521,521,False
62,14,62,True
728,501,728,True
182,246,246,False
741,117,741,True
29,431,431,False
719,574,574,False
209,477,477,False
492,37,37,False
425,43,425,True
207,284,284,False
749,512,512,False
539,153,153,False
152,159,159,False
738,18,738,True
182,579,579,False
69,302,69,True
173,713,713,False
488,199,488,True
683,506,683,True
2,619,2,True
735,255,735,True
70,800,70,True
120,67,67,False
738,610,610,False
68,397,397,False
540,714,540,True
184,197,184,True
577,58,58,False
750,29,29,False
391,640,391,True
211,737,211,True
462,694,694,False
337,147,147,False
459,644,644,False
615,652,615,True
786,180,786,True
247,594,594,False
536,720,536,True
729,586,586,False
715,80,715,True
516,740,516,True
440,525,525,False
174,410,410,False
634,424,424,False
252,797,797,False
317,294,317,True
463,790,790,False
770,7,7,False
110,783,110,True
454,469,469,False
241,731,241,True
688,190,688,True
271,21,271,True
738,789,738,True
476,223,476,True
574,283,574,True
621,551,551,False
723,617,723,True
1,679,679,False
595,131,595,True
339,433,339,True
247,452,247,True
19,709,709,False
410,278,410,True
103,142,103,True
37,337,337,False
453,29,453,True
73,113,113,False
374,87,374,True
634,784,784,False
681,790,681,True
181,765,181,True
584,498,498,False
586,590,590,False
732,1,732,True
478,524,478,True
734,19,19,False
634,348,634,True
567,755,567,True
354,82,354,True
417,783,417,True
420,85,420,True
610,215,610,True
350,160,350,True
122,588,588,False
159,77,159,True
398,598,398,True
300,704,704,False
508,293,508,True
763,685,685,False
428,203,428,True
509,199,509,True
106,592,106,True
550,394,550,True
310,48,48,False
80,314,314,False
463,203,463,True
9,484,9,True
700,49,700,True
437,533,533,False
73,485,73,True
627,314,314,False
216,657,216,True
126,617,126,True
632,707,707,False
692,331,692,True
309,11,309,True
483,22,483,True
665,170,170,False
540,337,540,True
39,299,299,False
761,762,762,False
441,1,441,True
434,137,137,False
700,433,700,True
52,379,379,False
158,171,158,True
769,374,769,True
789,690,690,False
393,255,255,False
307,741,307,True
528,492,528,True
212,24,24,False
99,173,99,True
58,253,58,True
226,289,226,True
365,609,365,True
409,532,409,True
647,294,647,True
15,756,756,False
196,774,196,True
265,68,265,True
564,749,749,False
750,248,248,False
142,107,142,True
427,404,427,True
454,302,302,False
323,574,574,False
262,67,67,False
710,434,710,True
291,666,291,True
233,445,233,True
126,494,494,False
252,108,108,False
69,212,212,False
120,342,120,True
224,173,173,False
695,94,94,False
672,355,672,True
409,254,409,True
195,607,607,False
528,327,327,False
127,81,127,True
698,336,336,False
422,705,705,False
432,397,432,True
409,376,409,True
582,424,424,False
521,268,521,True
304,708,708,False
385,492,492,False
560,70,560,True
149,545,149,True
68,362,362,False
672,732,732,False
632,14,632,True
641,341,341,False
365,428,428,False
594,425,425,False
764,529,764,True
397,161,397,True
111,670,670,False
219,738,219,True
408,647,647,False
516,107,107,False
736,622,736,True
212,128,212,True
685,648,648,False
406,420,420,False
501,689,689,False
533,211,533,True
413,580,413,True
74,277,277,False
460,713,713,False
450,8,8,False
376,196,196,False
292,510,510,False
282,186,282,True
384,699,699,False
295,741,741,False
346,790,346,True
269,187,269,True
45,323,323,False
89,778,778,False
151,238,151,True
774,667,774,True
266,301,301,False
602,375,375,False
31,490,490,False
92,182,92,True
588,390,588,True
476,434,476,True
360,426,426,False
101,21,21,False
267,182,267,True
245,72,72,False
10,17,17,False
110,425,425,False
244,177,177,False
209,465,465,False
778,760,778,True
192,721,192,True
340,110,110,False
555,443,443,False
538,82,538,True
123,434,123,True
597,627,597,True
409,56,409,True
458,301,301,False
65,644,65,True
584,319,319,False
262,210,210,False
116,492,116,True
75,480,480,False
302,38,302,True
750,656,656,False
453,174,453,True
375,509,375,True
791,203,791,True
617,266,617,True
480,541,541,False
425,750,425,True
325,276,276,False
385,157,157,False
331,648,648,False
566,34,34,False
86,502,502,False
214,435,214,True
551,778,551,True
300,354,300,True
438,630,438,True
209,397,209,True
582,666,582,True
52,780,780,False
492,417,417,False
519,581,581,False
771,11,771,True
725,340,340,False
286,313,313,False
79,633,633,False
435,83,435,True
565,55,55,False
313,754,313,True
247,685,247,True
698,215,698,True
76,567,567,False
451,21,451,True
132,473,132,True
500,215,500,True
4,13,4,True
111,188,111,True
39,519,519,False
129,303,129,True
306,39,306,True
752,595,595,False
699,458,699,True
708,456,708,True
102,304,102,True
399,239,239,False
37,13,13,False
498,282,498,True
649,489,649,True
535,189,535,True
147,189,147,True
107,32,32,False
688,350,350,False
559,540,540,False
28,44,44,False
277,168,168,False
285,328,328,False
650,652,650,True
638,393,393,False
365,233,233,False
215,290,215,True
576,231,576,True
335,333,335,True
79,392,79,True
181,41,181,True
136,546,136,True
685,208,685,True
634,480,480,False
481,690,481,True
262,47,47,False
87,59,59,False
695,637,695,True
712,74,712,True
696,274,274,False
485,101,101,False
484,661,661,False
721,631,631,False
354,257,257,False
485,605,605,False
27,798,798,False
604,131,131,False
336,532,532,False
298,179,179,False
297,394,394,False
260,358,260,True
429,475,429,True
546,416,546,True
174,224,174,True
65,173,65,True
793,247,793,True
530,437,437,False
154,650,154,True
627,150,150,False
47,334,334,False
146,660,660,False
348,105,348,True
712,575,712,True
602,728,728,False
523,461,523,True
347,526,526,False
579,373,579,True
2,214,214,False
10,596,596,False
531,762,531,True
430,516,430,True
305,400,305,True
158,258,158,True
528,38,528,True
54,600,600,False
424,728,424,True
232,333,232,True
162,114,162,True
59,118,59,True
632,742,742,False
488,708,708,False
180,690,690,False
129,423,423,False
162,439,162,True
592,267,267,False
727,219,727,True
707,764,707,True
537,525,537,True
798,672,672,False
6,47,6,True
421,225,421,True
703,732,732,False
743,248,248,False
773,454,773,True
286,680,286,True
541,302,541,True
210,686,686,False
503,62,503,True
423,734,423,True
280,524,280,True
116,681,116,True
365,680,680,False
330,664,664,False
462,463,463,False
242,325,242,True
131,340,340,False
713,794,794,False
234,667,234,True
270,772,772,False
200,393,393,False
181,351,181,True
350,546,350,True
665,39,39,False
475,402,475,True
383,722,383,True
401,580,580,False
123,609,123,True
502,123,502,True
98,537,537,False
565,716,716,False
512,100,512,True
240,93,93,False
646,468,646,True
89,470,89,True
438,284,438,True
125,31,125,True
570,222,570,True
350,512,512,False
643,42,643,True
560,316,316,False
715,343,715,True
126,622,126,True
278,184,184,False
604,130,130,False
558,573,573,False
411,220,411,True
132,181,132,True
592,748,748,False
709,260,709,True
515,598,598,False
576,530,576,True
512,205,512,True
268,458,268,True
633,113,633,True
368,101,101,False
371,61,61,False
339,248,339,True
256,30,30,False
691,593,691,True
118,349,349,False
216,30,216,True
540,545,540,True
664,13,13,False
52,292,52,True
120,256,256,False
178,456,178,True
148,343,343,False
693,68,68,False
547,719,547,True
93,738,93,True
664,398,398,False
347,589,589,False
222,568,568,False
349,425,349,True
166,559,166,True
50,306,306,False
361,716,716,False
226,509,226,True
2,594,2,True
50,134,134,False
459,111,111,False
667,96,667,True
260,215,215,False
380,694,694,False
496,485,496,True
310,153,153,False
349,663,349,True
516,130,516,True
783,681,783,True
657,355,355,False
549,100,549,True
462,690,690,False
112,465,465,False
117,370,370,False
549,54,549,True
478,593,478,True
497,280,280,False
766,591,766,True
677,17,677,True
251,259,251,True
53,494,494,False
746,494,494,False
475,723,475,True
305,238,305,True
288,524,288,True
751,45,751,True
291,470,291,True
154,325,154,True
638,359,638,True
604,233,233,False
19,369,19,True
526,203,526,True
129,695,129,True
719,215,719,True
518,118,518,True
